Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.001,0.01,78,30,0.7167
45116,0.001,0.01,78,30,0.6926
4403,0.001,0.01,78,30,0.7233
92879,0.001,0.01,78,30,0.7064
34770,0.001,0.01,78,30,0.6925
