Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.730676039485492,0.7345901884534848,0.5074214777146275,0.6998878253066108
222.0,0.730676039485492,0.7345901884534848,0.4662847741549507,0.4075560873466946
333.0,0.730676039485492,0.7345901884534848,0.744510918336823,0.6094585701465749
444.0,0.730676039485492,0.7345901884534848,0.39991026024528864,0.5387077475321568
555.0,0.730676039485492,0.7345901884534848,0.6590607239006879,0.6496171103798982
666.0,0.730676039485492,0.7345901884534848,0.535970685013461,0.40440921328148377
777.0,0.730676039485492,0.7345901884534848,0.5519204307508226,0.2916362548609034
888.0,0.730676039485492,0.7345901884534848,0.5970326054442118,0.5305055339515405
999.0,0.730676039485492,0.7345901884534848,0.455037391564463,0.20066257852228536
1110.0,0.730676039485492,0.7345901884534848,0.5801286269817529,0.25974872868680826
