Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.8497340425531915,0.8254556476846058,0.303680381727159,0.485450563204005
222.0,0.8497340425531915,0.8254556476846058,0.312715112640801,0.43353019399249065
333.0,0.8497340425531915,0.8254556476846058,0.27016192115143933,0.39072277847309134
444.0,0.8497340425531915,0.8254556476846058,0.3641465894868586,0.5556163954943679
555.0,0.8497340425531915,0.8254556476846058,0.2984198998748436,0.4847856695869838
666.0,0.8497340425531915,0.8254556476846058,0.40810779098873595,0.5790441176470588
777.0,0.8497340425531915,0.8254556476846058,0.2689299123904881,0.4956586357947434
888.0,0.8497340425531915,0.8254556476846058,0.3288485607008761,0.5395807259073843
999.0,0.8497340425531915,0.8254556476846058,0.3419508760951189,0.5904059762202754
1110.0,0.8497340425531915,0.8254556476846058,0.4446964956195244,0.38677252816020025
