Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,28,40,0.7875
777,0.01,0.001,28,40,0.7926
777,0.001,0.01,28,40,0.7970
777,0.001,0.001,28,40,0.8067
777,0.01,0.01,56,40,0.7934
777,0.01,0.001,56,40,0.8145
777,0.001,0.01,56,40,0.7942
777,0.001,0.001,56,40,0.8173
