Seed,LR_G,LR_D,k,stop_epochs,AUC
Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.001,0.01,78,30,0.8383
Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.001,0.01,78,30,0.8383
45116,0.001,0.01,78,30,0.7905
4403,0.001,0.01,78,30,0.7520
92879,0.001,0.01,78,30,0.7980
34770,0.001,0.01,78,30,0.8296
