Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.730676039485492,0.7345901884534848,0.3841534549805564,0.44103798982949444
222.0,0.730676039485492,0.7345901884534848,0.6163834878851331,0.6927071492671254
333.0,0.730676039485492,0.7345901884534848,0.5506266826204008,0.4079389769667963
444.0,0.730676039485492,0.7345901884534848,0.3240218366736465,0.46344002393060124
555.0,0.730676039485492,0.7345901884534848,0.6275874962608436,0.5174753215674543
666.0,0.730676039485492,0.7345901884534848,0.41175142087944966,0.6582500747831289
777.0,0.730676039485492,0.7345901884534848,0.3896440323063116,0.5377624887825307
888.0,0.730676039485492,0.7345901884534848,0.38500299132515703,0.7087227041579418
999.0,0.730676039485492,0.7345901884534848,0.5113236613819921,0.7487735566856117
1110.0,0.730676039485492,0.7345901884534848,0.4409033801974275,0.6425306610828597
