Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.8497340425531915,0.8254556476846058,0.40267130788485606,0.5924397684605758
222.0,0.8497340425531915,0.8254556476846058,0.327479662077597,0.6223013141426783
333.0,0.8497340425531915,0.8254556476846058,0.45818992490613275,0.6633291614518149
444.0,0.8497340425531915,0.8254556476846058,0.32247340425531923,0.4022997496871089
555.0,0.8497340425531915,0.8254556476846058,0.4433373748435544,0.7175375469336671
666.0,0.8497340425531915,0.8254556476846058,0.4452244993742178,0.7559058197747184
777.0,0.8497340425531915,0.8254556476846058,0.2934918648310388,0.4259230287859824
888.0,0.8497340425531915,0.8254556476846058,0.45824859198998746,0.7324780976220275
999.0,0.8497340425531915,0.8254556476846058,0.318376486232791,0.7436052878598247
1110.0,0.8497340425531915,0.8254556476846058,0.4540636733416771,0.25631648936170215
