Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,55,40,0.5079
777,0.01,0.001,55,40,0.5079
777,0.001,0.01,55,40,0.5079
777,0.001,0.001,55,40,0.5079
777,0.01,0.01,110,40,0.5016
777,0.01,0.001,110,40,0.5016
777,0.001,0.01,110,40,0.5016
777,0.001,0.001,110,40,0.5016
