Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.7295081967213115,0.7264344262295082,0.6229508196721312,0.6967213114754097
222.0,0.7295081967213115,0.7264344262295082,0.6239754098360656,0.6454918032786885
333.0,0.7295081967213115,0.7264344262295082,0.5993852459016394,0.8709016393442623
444.0,0.7295081967213115,0.7264344262295082,0.6127049180327868,0.742827868852459
555.0,0.7295081967213115,0.7264344262295082,0.6670081967213114,0.6977459016393444
666.0,0.7295081967213115,0.7264344262295082,0.6301229508196722,0.2930327868852459
777.0,0.7295081967213115,0.7264344262295082,0.5081967213114754,0.5829918032786885
888.0,0.7295081967213115,0.7264344262295082,0.6987704918032787,0.6967213114754098
999.0,0.7295081967213115,0.7264344262295082,0.6301229508196722,0.7715163934426229
1110.0,0.7295081967213115,0.7264344262295082,0.4579918032786885,0.5584016393442623
Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.7295081967213115,0.7264344262295082,0.6495901639344263,0.6967213114754097
222.0,0.7295081967213115,0.7264344262295082,0.4047131147540983,0.6454918032786885
333.0,0.7295081967213115,0.7264344262295082,0.5061475409836065,0.8709016393442623
444.0,0.7295081967213115,0.7264344262295082,0.44364754098360654,0.742827868852459
555.0,0.7295081967213115,0.7264344262295082,0.6270491803278688,0.6977459016393444
666.0,0.7295081967213115,0.7264344262295082,0.49692622950819676,0.2930327868852459
777.0,0.7295081967213115,0.7264344262295082,0.5409836065573771,0.5829918032786885
888.0,0.7295081967213115,0.7264344262295082,0.6127049180327868,0.6967213114754098
999.0,0.7295081967213115,0.7264344262295082,0.5102459016393442,0.7715163934426229
1110.0,0.7295081967213115,0.7264344262295082,0.4375,0.5584016393442623
Seed,LOF_AUC,KNN_AUC,MO_GAAL_AUC,AnoGAN_AUC
111.0,0.7295081967213115,0.7264344262295082,0.6495901639344263,0.6967213114754097
222.0,0.7295081967213115,0.7264344262295082,0.4047131147540983,0.6454918032786885
333.0,0.7295081967213115,0.7264344262295082,0.5061475409836065,0.8709016393442623
444.0,0.7295081967213115,0.7264344262295082,0.44364754098360654,0.742827868852459
555.0,0.7295081967213115,0.7264344262295082,0.6270491803278688,0.6977459016393444
666.0,0.7295081967213115,0.7264344262295082,0.49692622950819676,0.2930327868852459
777.0,0.7295081967213115,0.7264344262295082,0.5409836065573771,0.5829918032786885
888.0,0.7295081967213115,0.7264344262295082,0.6127049180327868,0.6967213114754098
999.0,0.7295081967213115,0.7264344262295082,0.5102459016393442,0.7715163934426229
1110.0,0.7295081967213115,0.7264344262295082,0.4375,0.5584016393442623
